"region";"sex";"age";"Persons 2020"
"K-3003 Sarpsborg";"Females";"57 years";374
"K-3003 Sarpsborg";"Females";"58 years";334
"K-3003 Sarpsborg";"Females";"59 years";324
"K-3003 Sarpsborg";"Females";"60 years";355
"K-3003 Sarpsborg";"Females";"61 years";344
"K-3003 Sarpsborg";"Females";"62 years";384
"K-3003 Sarpsborg";"Females";"63 years";350
"K-3003 Sarpsborg";"Females";"64 years";263
"K-3003 Sarpsborg";"Females";"65 years";301
"K-3003 Sarpsborg";"Females";"66 years";335
"K-3003 Sarpsborg";"Females";"67 years";311
"K-3003 Sarpsborg";"Females";"68 years";262
"K-3003 Sarpsborg";"Females";"69 years";296
"K-3003 Sarpsborg";"Females";"70 years";313
"K-3003 Sarpsborg";"Females";"71 years";308
"K-3003 Sarpsborg";"Females";"72 years";332
"K-3003 Sarpsborg";"Females";"73 years";338
"K-3003 Sarpsborg";"Females";"74 years";311
"K-3003 Sarpsborg";"Females";"75 years";292
"K-3003 Sarpsborg";"Females";"76 years";243
"K-3003 Sarpsborg";"Females";"77 years";234
"K-3003 Sarpsborg";"Females";"78 years";181
"K-3003 Sarpsborg";"Females";"79 years";177
"K-3003 Sarpsborg";"Females";"80 years";167
"K-3003 Sarpsborg";"Females";"81 years";175
"K-3003 Sarpsborg";"Females";"82 years";172
"K-3003 Sarpsborg";"Females";"83 years";158
"K-3003 Sarpsborg";"Females";"84 years";117
"K-3003 Sarpsborg";"Females";"85 years";105
"K-3003 Sarpsborg";"Females";"86 years";94
"K-3003 Sarpsborg";"Females";"87 years";103
"K-3003 Sarpsborg";"Females";"88 years";90
"K-3003 Sarpsborg";"Females";"89 years";104
"K-3003 Sarpsborg";"Females";"90 years";69
"K-3003 Sarpsborg";"Females";"91 years";64
"K-3003 Sarpsborg";"Females";"92 years";48
"K-3003 Sarpsborg";"Females";"93 years";46
