"region";"age";"industry (SIC2007)";"working hours";"Employees by place of residence 2019";"Employees by place of work 2019"
"K-3018 V?ler (?stfold)";"15-74 years";"41-43 Construction";"Full-time";332;193
"K-3018 V?ler (?stfold)";"20-66 years";"00-99 All industries";"Part-time";585;372
"K-3018 V?ler (?stfold)";"20-66 years";"00-99 All industries";"Full-time";1986;838
"K-3018 V?ler (?stfold)";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3018 V?ler (?stfold)";"20-66 years";"05-09 Mining and quarrying";"Full-time";10;0
"K-3018 V?ler (?stfold)";"20-66 years";"41-43 Construction";"Part-time";21;15
"K-3018 V?ler (?stfold)";"20-66 years";"41-43 Construction";"Full-time";323;189
"K-3019 Vestby";"15-74 years";"00-99 All industries";"Part-time";2081;1953
"K-3019 Vestby";"15-74 years";"00-99 All industries";"Full-time";6345;5355
"K-3019 Vestby";"15-74 years";"05-09 Mining and quarrying";"Part-time";3;3
"K-3019 Vestby";"15-74 years";"05-09 Mining and quarrying";"Full-time";36;28
"K-3019 Vestby";"15-74 years";"41-43 Construction";"Part-time";95;76
"K-3019 Vestby";"15-74 years";"41-43 Construction";"Full-time";632;401
"K-3019 Vestby";"20-66 years";"00-99 All industries";"Part-time";1664;1563
"K-3019 Vestby";"20-66 years";"00-99 All industries";"Full-time";6123;5189
"K-3019 Vestby";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;0
"K-3019 Vestby";"20-66 years";"05-09 Mining and quarrying";"Full-time";35;27
"K-3019 Vestby";"20-66 years";"41-43 Construction";"Part-time";73;55
"K-3019 Vestby";"20-66 years";"41-43 Construction";"Full-time";591;377
"K-3020 Nordre Follo";"15-74 years";"00-99 All industries";"Part-time";6330;6427
"K-3020 Nordre Follo";"15-74 years";"00-99 All industries";"Full-time";21905;16759
"K-3020 Nordre Follo";"15-74 years";"05-09 Mining and quarrying";"Part-time";4;0
"K-3020 Nordre Follo";"15-74 years";"05-09 Mining and quarrying";"Full-time";105;0
"K-3020 Nordre Follo";"15-74 years";"41-43 Construction";"Part-time";196;176
"K-3020 Nordre Follo";"15-74 years";"41-43 Construction";"Full-time";1875;1566
"K-3020 Nordre Follo";"20-66 years";"00-99 All industries";"Part-time";5198;5371
"K-3020 Nordre Follo";"20-66 years";"00-99 All industries";"Full-time";21221;16208
"K-3020 Nordre Follo";"20-66 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-3020 Nordre Follo";"20-66 years";"05-09 Mining and quarrying";"Full-time";103;0
"K-3020 Nordre Follo";"20-66 years";"41-43 Construction";"Part-time";151;139
"K-3020 Nordre Follo";"20-66 years";"41-43 Construction";"Full-time";1767;1490
"K-3021 ?s";"15-74 years";"00-99 All industries";"Part-time";2792;2645
"K-3021 ?s";"15-74 years";"00-99 All industries";"Full-time";7131;7248
"K-3021 ?s";"15-74 years";"05-09 Mining and quarrying";"Part-time";0;3
"K-3021 ?s";"15-74 years";"05-09 Mining and quarrying";"Full-time";29;20
"K-3021 ?s";"15-74 years";"41-43 Construction";"Part-time";78;86
"K-3021 ?s";"15-74 years";"41-43 Construction";"Full-time";702;1205
"K-3021 ?s";"20-66 years";"00-99 All industries";"Part-time";2427;2247
"K-3021 ?s";"20-66 years";"00-99 All industries";"Full-time";6943;7009
"K-3021 ?s";"20-66 years";"05-09 Mining and quarrying";"Part-time";0;3
"K-3021 ?s";"20-66 years";"05-09 Mining and quarrying";"Full-time";29;19
"K-3021 ?s";"20-66 years";"41-43 Construction";"Part-time";67;59
"K-3021 ?s";"20-66 years";"41-43 Construction";"Full-time";664;1152
"K-3022 Frogn";"15-74 years";"00-99 All industries";"Part-time";1929;1422
"K-3022 Frogn";"15-74 years";"00-99 All industries";"Full-time";5498;2546
"K-3022 Frogn";"15-74 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-3022 Frogn";"15-74 years";"05-09 Mining and quarrying";"Full-time";32;3
"K-3022 Frogn";"15-74 years";"41-43 Construction";"Part-time";73;42
"K-3022 Frogn";"15-74 years";"41-43 Construction";"Full-time";518;329
"K-3022 Frogn";"20-66 years";"00-99 All industries";"Part-time";1590;1167
"K-3022 Frogn";"20-66 years";"00-99 All industries";"Full-time";5304;2432
"K-3022 Frogn";"20-66 years";"05-09 Mining and quarrying";"Part-time";3;3
"K-3022 Frogn";"20-66 years";"05-09 Mining and quarrying";"Full-time";32;0
"K-3022 Frogn";"20-66 years";"41-43 Construction";"Part-time";61;37
"K-3022 Frogn";"20-66 years";"41-43 Construction";"Full-time";492;316
"K-3023 Nesodden";"15-74 years";"00-99 All industries";"Part-time";2405;1631
"K-3023 Nesodden";"15-74 years";"00-99 All industries";"Full-time";6750;2654
"K-3023 Nesodden";"15-74 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-3023 Nesodden";"15-74 years";"05-09 Mining and quarrying";"Full-time";69;3
"K-3023 Nesodden";"15-74 years";"41-43 Construction";"Part-time";72;49
"K-3023 Nesodden";"15-74 years";"41-43 Construction";"Full-time";508;240
"K-3023 Nesodden";"20-66 years";"00-99 All industries";"Part-time";2032;1356
"K-3023 Nesodden";"20-66 years";"00-99 All industries";"Full-time";6554;2540
"K-3023 Nesodden";"20-66 years";"05-09 Mining and quarrying";"Part-time";3;0
"K-3023 Nesodden";"20-66 years";"05-09 Mining and quarrying";"Full-time";68;0
"K-3023 Nesodden";"20-66 years";"41-43 Construction";"Part-time";59;39
"K-3023 Nesodden";"20-66 years";"41-43 Construction";"Full-time";474;223
"K-3024 B?rum";"15-74 years";"00-99 All industries";"Part-time";12981;14570
"K-3024 B?rum";"15-74 years";"00-99 All industries";"Full-time";48564;56854
"K-3024 B?rum";"15-74 years";"05-09 Mining and quarrying";"Part-time";37;109
"K-3024 B?rum";"15-74 years";"05-09 Mining and quarrying";"Full-time";1271;3802
"K-3024 B?rum";"15-74 years";"41-43 Construction";"Part-time";270;368
"K-3024 B?rum";"15-74 years";"41-43 Construction";"Full-time";3301;4551
"K-3024 B?rum";"20-66 years";"00-99 All industries";"Part-time";10598;12096
"K-3024 B?rum";"20-66 years";"00-99 All industries";"Full-time";46995;55331
"K-3024 B?rum";"20-66 years";"05-09 Mining and quarrying";"Part-time";36;99
"K-3024 B?rum";"20-66 years";"05-09 Mining and quarrying";"Full-time";1262;3769
"K-3024 B?rum";"20-66 years";"41-43 Construction";"Part-time";222;312
"K-3024 B?rum";"20-66 years";"41-43 Construction";"Full-time";3184;4387
"K-3025 Asker";"15-74 years";"00-99 All industries";"Part-time";11092;9841
"K-3025 Asker";"15-74 years";"00-99 All industries";"Full-time";34068;24572
"K-3025 Asker";"15-74 years";"05-09 Mining and quarrying";"Part-time";25;15
"K-3025 Asker";"15-74 years";"05-09 Mining and quarrying";"Full-time";662;509
