"region";"country background";"Unemployed persons in per cent of persons in total 2020K4"
"1511 Vanylven";"Total";1.3
"1511 Vanylven";"Immigrants";3.1
"1514 Sande (M?re og Romsdal)";"Total";3.9
"1514 Sande (M?re og Romsdal)";"Immigrants";7.6
"1515 Her?y (M?re og Romsdal)";"Total";2.8
"1515 Her?y (M?re og Romsdal)";"Immigrants";6.5
"1516 Ulstein";"Total";3.2
"1516 Ulstein";"Immigrants";5.7
"1517 Hareid";"Total";3.8
"1517 Hareid";"Immigrants";7.7
"1520 ?rsta";"Total";2.0
"1520 ?rsta";"Immigrants";5.4
"1525 Stranda";"Total";2.0
"1525 Stranda";"Immigrants";3.8
"1528 Sykkylven";"Total";1.1
"1528 Sykkylven";"Immigrants";2.8
"1531 Sula";"Total";1.8
"1531 Sula";"Immigrants";3.9
"1532 Giske";"Total";2.0
"1532 Giske";"Immigrants";5.3
"1535 Vestnes";"Total";2.0
"1535 Vestnes";"Immigrants";5.6
"1539 Rauma";"Total";1.8
"1539 Rauma";"Immigrants";5.1
"1547 Aukra";"Total";1.8
"1547 Aukra";"Immigrants";4.9
"1554 Aver?y";"Total";1.6
"1554 Aver?y";"Immigrants";5.0
"1557 Gjemnes";"Total";1.6
"1557 Gjemnes";"Immigrants";5.4
"1560 Tingvoll";"Total";1.2
"1560 Tingvoll";"Immigrants";2.0
"1563 Sunndal";"Total";1.4
"1563 Sunndal";"Immigrants";3.2
"1566 Surnadal";"Total";1.1
"1566 Surnadal";"Immigrants";3.2
"1573 Sm?la";"Total";1.1
"1573 Sm?la";"Immigrants";2.8
"1576 Aure";"Total";1.0
"1576 Aure";"Immigrants";1.5
"1577 Volda";"Total";1.6
"1577 Volda";"Immigrants";2.6
"1578 Fjord";"Total";1.8
"1578 Fjord";"Immigrants";4.4
"1579 Hustadvika";"Total";2.1
"1579 Hustadvika";"Immigrants";5.1
"5001 Trondheim";"Total";2.1
"5001 Trondheim";"Immigrants";4.8
"5006 Steinkjer";"Total";1.9
"5006 Steinkjer";"Immigrants";5.2
"5007 Namsos";"Total";1.4
"5007 Namsos";"Immigrants";3.4
"5014 Fr?ya";"Total";1.9
"5014 Fr?ya";"Immigrants";3.3
"5020 Osen";"Total";0.6
"5020 Osen";"Immigrants";:
"5021 Oppdal";"Total";1.4
"5021 Oppdal";"Immigrants";3.9
"5022 Rennebu";"Total";1.4
"5022 Rennebu";"Immigrants";3.9
"5025 R?ros";"Total";1.2
"5025 R?ros";"Immigrants";6.3
"5026 Holt?len";"Total";:
"5026 Holt?len";"Immigrants";:
"5027 Midtre Gauldal";"Total";1.2
"5027 Midtre Gauldal";"Immigrants";3.2
"5028 Melhus";"Total";2.0
"5028 Melhus";"Immigrants";6.2
"5029 Skaun";"Total";1.8
"5029 Skaun";"Immigrants";4.8
"5031 Malvik";"Total";2.0
