"region";"sex";"age";"Persons 2020"
"K-3037 Hurdal";"Males";"80-89 years";58
"K-3037 Hurdal";"Males";"90 years or older";9
"K-3037 Hurdal";"Females";"0-17 years";258
"K-3037 Hurdal";"Females";"18-49 years";515
"K-3037 Hurdal";"Females";"50-66 years";340
"K-3037 Hurdal";"Females";"67-79 years";190
"K-3037 Hurdal";"Females";"80-89 years";78
"K-3037 Hurdal";"Females";"90 years or older";26
"K-3038 Hole";"Males";"0-17 years";787
"K-3038 Hole";"Males";"18-49 years";1283
"K-3038 Hole";"Males";"50-66 years";855
"K-3038 Hole";"Males";"67-79 years";414
"K-3038 Hole";"Males";"80-89 years";83
"K-3038 Hole";"Males";"90 years or older";31
"K-3038 Hole";"Females";"0-17 years";741
"K-3038 Hole";"Females";"18-49 years";1283
"K-3038 Hole";"Females";"50-66 years";773
"K-3038 Hole";"Females";"67-79 years";377
"K-3038 Hole";"Females";"80-89 years";142
"K-3038 Hole";"Females";"90 years or older";30
"K-3039 Fl?";"Males";"0-17 years";101
"K-3039 Fl?";"Males";"18-49 years";202
"K-3039 Fl?";"Males";"50-66 years";132
"K-3039 Fl?";"Males";"67-79 years";79
"K-3039 Fl?";"Males";"80-89 years";23
"K-3039 Fl?";"Males";"90 years or older";8
"K-3039 Fl?";"Females";"0-17 years";81
"K-3039 Fl?";"Females";"18-49 years";182
"K-3039 Fl?";"Females";"50-66 years";113
"K-3039 Fl?";"Females";"67-79 years";80
"K-3039 Fl?";"Females";"80-89 years";36
"K-3039 Fl?";"Females";"90 years or older";13
"K-3040 Nesbyen";"Males";"0-17 years";268
"K-3040 Nesbyen";"Males";"18-49 years";608
"K-3040 Nesbyen";"Males";"50-66 years";420
"K-3040 Nesbyen";"Males";"67-79 years";254
"K-3040 Nesbyen";"Males";"80-89 years";77
"K-3040 Nesbyen";"Males";"90 years or older";16
"K-3040 Nesbyen";"Females";"0-17 years";281
"K-3040 Nesbyen";"Females";"18-49 years";531
"K-3040 Nesbyen";"Females";"50-66 years";419
"K-3040 Nesbyen";"Females";"67-79 years";265
"K-3040 Nesbyen";"Females";"80-89 years";96
"K-3040 Nesbyen";"Females";"90 years or older";38
"K-3041 Gol";"Males";"0-17 years";426
"K-3041 Gol";"Males";"18-49 years";927
"K-3041 Gol";"Males";"50-66 years";532
"K-3041 Gol";"Males";"67-79 years";296
"K-3041 Gol";"Males";"80-89 years";102
"K-3041 Gol";"Males";"90 years or older";27
"K-3041 Gol";"Females";"0-17 years";439
"K-3041 Gol";"Females";"18-49 years";838
"K-3041 Gol";"Females";"50-66 years";526
"K-3041 Gol";"Females";"67-79 years";337
"K-3041 Gol";"Females";"80-89 years";120
"K-3041 Gol";"Females";"90 years or older";38
"K-3042 Hemsedal";"Males";"0-17 years";283
"K-3042 Hemsedal";"Males";"18-49 years";602
"K-3042 Hemsedal";"Males";"50-66 years";267
"K-3042 Hemsedal";"Males";"67-79 years";117
"K-3042 Hemsedal";"Males";"80-89 years";42
"K-3042 Hemsedal";"Males";"90 years or older";7
"K-3042 Hemsedal";"Females";"0-17 years";240
"K-3042 Hemsedal";"Females";"18-49 years";521
"K-3042 Hemsedal";"Females";"50-66 years";225
"K-3042 Hemsedal";"Females";"67-79 years";121
