kommune_no,kommune_name,population,date,median_age,unemp_tot,unemp_immg,workers_ft_work,workers_pt_work,construction_ft_work,construction_pt_work,immigrants_total,marketplace,entertainment,sport,clinic,hairdresser,shops,place_of_worship,retail,nursing_home,restaurant,aerodrome,office,platform,kindergarten,schools,bakeries,residential,higher_education,idarea_1,idarea_2,area,pop_dens,urb_dens,sex
4639,Vik,2635,2021-05-13,46,1.4,5.1,701,306,87,17,10.51,0,0,1,2,2,6,8,2,0,0,0,0,0,0,5,0,27,0,267,267,973.8612349644394,2.7057242915067024,0.02772468913498329,0.5005692599620494
4640,Sogndal,11847,2021-05-13,37,1.7,5.6,4527,1788,748,88,10.96,0,3,5,9,1,14,10,4,2,13,1,4,24,3,13,1,150,0,268,268,1472.7781447561244,8.04398139813633,0.10184833373178437,0.5057820545285726
4641,Aurland,1781,2021-05-13,43,5.1,14.7,599,222,63,4,15.61,0,1,0,2,0,4,4,1,0,6,0,0,22,1,3,0,156,0,269,269,1509.1768119274702,1.1801135466197405,0.10336760992289698,0.5075800112296462
4642,Lærdal,2126,2021-05-13,46,1.4,5.2,560,306,95,21,12.18,0,0,0,3,0,5,3,1,0,4,0,1,3,0,3,0,127,0,270,270,1406.5755113332314,1.5114723545733124,0.0902902112092242,0.5192850423330198
4643,Årdal,5193,2021-05-13,47,0.8,3.1,1977,452,101,8,8.76,0,0,0,2,1,5,2,0,0,1,0,0,0,1,3,0,1,0,271,271,1015.0036130085377,5.116237945801597,9.852181678801457e-4,0.5174273059888311
4644,Luster,5174,2021-05-13,42,1.1,4,992,656,135,20,7.73,0,0,0,3,0,10,13,4,0,5,0,0,22,0,9,2,19,0,272,272,2807.51899159178,1.8429082814739912,0.006767541041361777,0.5079242365674527
4645,Askvoll,3011,2021-05-13,47,0.9,2.1,501,329,67,11,7.31,0,0,0,2,0,8,11,3,0,1,0,0,1,0,5,0,4,0,273,273,1588.657242116848,1.8953112856413974,0.002517849598992225,0.5068083693125207
4646,Fjaler,2802,2021-05-13,41,0.4,0,776,342,111,3,12.78,0,0,0,2,0,6,5,1,0,0,0,1,33,1,5,0,156,1,274,274,482.29840143242455,5.809681292075756,0.3234512068393355,0.5074946466809421
4647,Sunnfjord,22030,2021-05-13,38,1.3,3.9,7649,2779,1002,87,9.13,0,2,3,11,1,21,15,13,1,5,1,11,58,6,20,0,410,1,275,275,2280.960429274025,9.658212267633077,0.1797488438370205,0.5115751248297776
4648,Bremanger,3629,2021-05-13,47,1.4,2.6,907,380,62,4,14.3,0,0,0,3,0,8,8,0,0,2,0,0,0,0,6,0,2,0,276,276,1931.3643677353286,1.8789825786499716,0.0010355373814549306,0.5100578671810416
4649,Stad,9457,2021-05-13,42,1.5,2.7,2289,1089,303,39,9.66,0,0,3,4,3,12,9,2,0,3,0,0,14,3,15,1,40,0,277,277,1651.739339853837,5.7254796636597955,0.024216896113608104,0.5044940255895104
4650,Gloppen,5854,2021-05-13,43,0.9,3.1,1565,712,164,25,9.94,0,0,1,3,0,9,6,0,0,1,1,0,0,1,8,0,68,0,278,278,1089.2397658666075,5.374390637806464,0.062428862892183044,0.508028698325931
4651,Stryn,7130,2021-05-13,41,1.6,2.6,2214,901,264,26,15.48,0,0,2,3,1,14,10,5,0,7,0,1,17,2,10,0,180,0,279,279,1458.3511328649085,4.889083183960795,0.12342706495272696,0.5162692847124825
5001,Trondheim,205163,2021-05-13,36,2.1,4.8,83190,29165,7817,634,13.64,0,20,74,89,99,151,56,57,5,153,0,38,1000,123,104,17,10722,17,280,280,720.5070213984299,284.7480925332272,14.881187388277915,0.5086735912420856
5006,Steinkjer,24357,2021-05-13,43,1.9,5.2,6648,3257,884,110,8.38,3,2,0,14,0,22,14,4,0,3,0,3,3,3,17,0,341,5,281,281,2244.2107108564137,10.853258957446611,0.15194651658616803,0.5073695446894116
5007,Namsos,15230,2021-05-13,42,1.4,3.4,4498,2275,479,39,8.06,0,0,2,11,0,16,13,1,0,0,1,0,11,2,13,0,26,0,282,282,2596.6913963388342,5.865155952483729,0.01001274161290722,0.4977675640183848
5014,Frøya,5151,2021-05-13,38,1.9,3.3,2001,654,91,8,24,0,1,2,2,0,9,8,8,0,3,1,0,2,1,8,0,219,0,283,283,5290.668076274491,0.9736010510844898,0.04139363816492007,0.5249466123082897
5020,Osen,948,2021-05-13,51,0.6,NA,179,121,22,0,5.17,0,0,0,1,0,2,2,10,0,0,0,4,0,1,2,0,983,0,284,284,1750.4912147722205,0.5415622723495683,0.5615566600417993,0.5369198312236287
5021,Oppdal,7001,2021-05-13,44,1.4,3.9,1703,988,347,37,9.04,0,0,2,3,4,7,4,0,0,3,1,0,2,2,6,1,96,0,285,285,2274.7071102643886,3.077758876476311,0.04220323555802397,0.502499642908156
5022,Rennebu,2486,2021-05-13,47,1.4,3.9,475,336,113,10,7.08,0,0,1,1,0,6,4,2,0,1,0,0,1,0,2,1,158,0,286,286,943.8085410980386,2.6340087970678425,0.16740683424646785,0.5076427996781979
5025,Røros,5581,2021-05-13,47,1.2,6.3,1915,897,238,37,8.44,0,2,7,4,4,6,5,0,0,10,1,0,9,2,5,2,153,0,287,287,1953.988286441985,2.8562095477872265,0.07830139057721656,0.49130980111091205
5026,Holtålen,1981,2021-05-13,48,NA,NA,286,200,56,8,5.4,0,0,1,1,0,2,4,19,0,2,0,3,3,0,2,0,1,0,288,288,1206.9332516144532,1.6413500890377468,8.285462337393977e-4,0.5017667844522968
5027,Midtre Gauldal,6238,2021-05-13,42,1.2,3.2,1791,755,329,44,11.97,0,0,0,2,1,9,4,1,0,2,0,0,9,0,7,0,35,0,289,289,1865.4293268126964,3.344002321791708,0.018762436880844786,0.5059313882654697
5028,Melhus,16733,2021-05-13,39,2,6.2,2970,1398,592,34,8.06,0,0,2,5,1,10,7,2,0,4,0,0,23,4,17,0,299,0,290,290,695.4318394076581,24.061308458716127,0.429948678010884,0.5078587222853045
5029,Skaun,8325,2021-05-13,37,1.8,4.8,864,556,175,26,5.95,0,0,0,1,3,4,3,1,0,3,0,0,3,3,8,0,137,0,291,291,253.96942600214385,32.77953622626105,0.539435010570302,0.5111111111111111
5031,Malvik,14148,2021-05-13,39,2,6.5,1930,958,197,19,9.74,1,0,1,3,2,7,4,5,0,3,0,0,14,5,10,0,569,0,292,292,229.27823379996727,61.7066860884115,2.481700903612252,0.5097540288379983
5032,Selbu,4062,2021-05-13,45,1.1,2.3,815,485,105,9,6.11,0,0,1,2,1,3,3,1,0,1,0,0,1,1,5,1,153,0,293,293,1230.9729409796678,3.299828830329336,0.12429192787798829,0.5100935499753816
5033,Tydal,769,2021-05-13,51,NA,NA,141,117,6,0,4.81,0,0,1,1,0,2,2,0,0,0,0,0,0,1,1,0,14,0,294,294,1328.3440499484766,0.5789162830441614,0.010539438182858596,0.5006501950585176
5034,Meråker,2422,2021-05-13,47,2.9,7.1,460,317,30,7,10.4,0,0,2,1,0,3,3,0,0,1,0,0,2,0,2,0,1,0,295,295,1275.9846611429023,1.8981419399122001,7.83708480558299e-4,0.5086705202312138
5035,Stjørdal,24145,2021-05-13,40,2.2,5.6,6695,2860,745,71,8.42,0,2,2,12,1,15,10,6,0,7,1,0,27,7,17,1,148,0,296,296,1000.4345235696406,24.134512985266102,0.14793571844354456,0.5057361772623732
5036,Frosta,2627,2021-05-13,44,1.8,3.3,411,319,70,17,9.44,0,0,0,1,0,2,2,0,0,3,0,0,0,0,1,0,12,0,297,297,249.5474608711147,10.527055618316961,0.048087045077960994,0.49676437000380663
5037,Levanger,20164,2021-05-13,40,1.6,3.9,5572,3087,484,54,8.36,0,0,1,6,0,15,9,3,0,5,0,0,16,1,13,0,9,1,298,298,835.0161698853705,24.14803536411526,0.010778234391838788,0.49791707994445544
5038,Verdal,14948,2021-05-13,42,2.3,6.8,3996,1673,805,160,6.59,0,1,2,7,0,9,7,0,0,1,0,0,0,0,12,0,29,0,299,299,1561.1580613444298,9.574943351429233,0.018575953785887594,0.507024351083757
5041,Snåsa,2063,2021-05-13,46,1.2,NA,309,309,29,9,6.35,0,0,0,1,0,3,1,0,0,1,2,0,2,0,3,0,8,0,300,300,2342.275968795152,0.8807672654649616,0.0034154813978282566,0.5036354823073195
5042,Lierne,1355,2021-05-13,48,NA,NA,281,207,56,3,8.93,0,0,2,1,0,4,3,0,0,0,0,0,0,0,2,0,12,0,301,301,2956.6836358620853,0.45828372828428104,0.0040586012836984296,0.5143911439114391
5043,Røyrvik,461,2021-05-13,49,NA,NA,63,70,4,0,9.11,0,0,1,1,0,1,2,0,0,1,0,0,0,1,1,0,16,0,302,302,1588.2376536782922,0.290258828036436,0.010074059107555263,0.49023861171366595
5044,Namsskogan,843,2021-05-13,50,NA,NA,191,119,53,15,8.66,0,0,0,1,0,3,3,0,0,0,0,0,2,0,2,0,60,0,303,303,1414.5877765918158,0.5959333269732123,0.042415183414463514,0.5077105575326216
5045,Grong,2359,2021-05-13,46,1.8,3.9,646,316,127,8,10.6,0,0,2,2,0,3,3,2,0,1,1,0,9,2,5,0,43,0,304,304,1131.2703288199662,2.0852663946916072,0.03801036666881692,0.5082662144976685
